# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  120       4.254355605036e-10       1.288796651286e-13      -4.522765582943e-12       5.802731149513e-16       6.106775789093e-12       9.898720418714e-13      -5.502939629916e-15 
  121       4.297526998055e-10       1.299981999868e-13      -4.593066187730e-12       5.903393836778e-16       5.969289720372e-12       9.721645198188e-13      -5.440080876142e-15 
  122       4.340798884679e-10       1.310650808804e-13      -4.662000929018e-12       6.005087653919e-16       5.835933424401e-12       9.549878268442e-13      -5.377349413876e-15 
  123       4.384161894800e-10       1.320791671635e-13      -4.729499587045e-12       6.107819326484e-16       5.706589733206e-12       9.383188375869e-13      -5.314864985459e-15 
  124       4.427605747259e-10       1.330393560806e-13      -4.795491877678e-12       6.211595670092e-16       5.581113318289e-12       9.221301677295e-13      -5.252748461831e-15 
  125       4.471119224518e-10       1.339445841005e-13      -4.859907480474e-12       6.316423590619e-16       5.459329942328e-12       9.063900635416e-13      -5.191121793070e-15 
  126       4.514690147344e-10       1.347938282514e-13      -4.922676066743e-12       6.422310084376e-16       5.341035710885e-12       8.910622914219e-13      -5.130107958931e-15 
  127       4.558305349480e-10       1.355861074544e-13      -4.983727327601e-12       6.529262238300e-16       5.225996324105e-12       8.761060274423e-13      -5.069830919380e-15 
  128       4.601950652327e-10       1.363204838578e-13      -5.042991002040e-12       6.637287230130e-16       5.113946328420e-12       8.614757468905e-13      -5.010415565136e-15 
  129       4.645612274235e-10       1.369961053482e-13      -5.100398084540e-12       6.746392532588e-16       5.004646148426e-12       8.471310551556e-13      -4.951959126264e-15 
  130       4.689281286950e-10       1.376123355195e-13      -5.155884538106e-12       6.856586550837e-16       4.898061845637e-12       8.330676343325e-13      -4.894441956785e-15 
  131       4.732949602470e-10       1.381686405492e-13      -5.209388043483e-12       6.967878055626e-16       4.794203757156e-12       8.192894985607e-13      -4.837806824000e-15 
  132       4.776608567338e-10       1.386645509130e-13      -5.260846892251e-12       7.080275987189e-16       4.693070151621e-12       8.057993180634e-13      -4.781986321922e-15 
  133       4.820248947591e-10       1.390996630139e-13      -5.310200023326e-12       7.193789456890e-16       4.594646894360e-12       7.925983798276e-13      -4.726902617578e-15 
  134       4.863860913701e-10       1.394736408106e-13      -5.357387059462e-12       7.308427748865e-16       4.498907112552e-12       7.796865482833e-13      -4.672467197313e-15 
  135       4.907434025519e-10       1.397862174470e-13      -5.402348343750e-12       7.424200321667e-16       4.405810860378e-12       7.670622259840e-13      -4.618580613090e-15 
  136       4.950957217218e-10       1.400371968806e-13      -5.445024976118e-12       7.541116809906e-16       4.315304784184e-12       7.547223142858e-13      -4.565132228793e-15 
  137       4.994418782234e-10       1.402264555116e-13      -5.485358849837e-12       7.659187025895e-16       4.227321787635e-12       7.426621740275e-13      -4.511999966528e-15 
  138       5.037806358215e-10       1.403539438118e-13      -5.523292688018e-12       7.778420961291e-16       4.141780696870e-12       7.308755862103e-13      -4.459050052927e-15 
  139       5.081106911958e-10       1.404196879534e-13      -5.558770080112e-12       7.898828788741e-16       4.058585925662e-12       7.193547126772e-13      -4.406136765446e-15 
  140       5.124306724357e-10       1.404237914379e-13      -5.591735518414e-12       8.020420863520e-16       3.977627140575e-12       7.080900567936e-13      -4.353102178670e-15 
  141       5.167391375341e-10       1.403664367251e-13      -5.622134434562e-12       8.143207725178e-16       3.898778926120e-12       6.970704241260e-13      -4.299775910615e-15 
  142       5.210345728823e-10       1.402478868618e-13      -5.649913236040e-12       8.267200099185e-16       3.821900449911e-12       6.862828831225e-13      -4.245974869029e-15 
  143       5.253153917641e-10       1.400684871108e-13      -5.675019342674e-12       8.392408898568e-16       3.746835127822e-12       6.757127257924e-13      -4.191502997691e-15 
  144       5.295800646160e-10       1.398286754023e-13      -5.697401560625e-12       8.518844000363e-16       3.673443442374e-12       6.653467664248e-13      -4.136197344901e-15 
  145       5.338275274608e-10       1.395290114107e-13      -5.717011168837e-12       8.646510435539e-16       3.601705751259e-12       6.551836872796e-13      -4.080071923236e-15 
  146       5.380568110652e-10       1.391701534541e-13      -5.733801009581e-12       8.775411824825e-16       3.531629025022e-12       6.452246428453e-13      -4.023187616193e-15 
