# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
7.578200000000000051e-05 4.379773830732244022e+01 4.566126534444286733e+01 4.852934992501101163e+01 5.148478733544421004e+01 5.350360829232464965e+01
7.815899999999999486e-05 4.512198487934146129e+01 4.704185659055112012e+01 4.999665914608473116e+01 5.304145568808128530e+01 5.512131670855843169e+01
8.061100000000000459e-05 4.648719995313359021e+01 4.846515948576553257e+01 5.150936282895688834e+01 5.464628302524037906e+01 5.678907251892497499e+01
8.313999999999999342e-05 4.789217857276432966e+01 4.992991780511241728e+01 5.306612584239813657e+01 5.629785290620019822e+01 5.850540374124395981e+01
8.574800000000000640e-05 4.934053560603719291e+01 5.143990022351289326e+01 5.467095358009660799e+01 5.800041465312447286e+01 6.027472632205650882e+01
8.843799999999999589e-05 5.083347600888664886e+01 5.299636296594066920e+01 5.632518117328161367e+01 5.975538470673445346e+01 6.209851224354299148e+01
9.121199999999999339e-05 5.237099978131274014e+01 5.459930603239573799e+01 5.802880862195317491e+01 6.156276306703011869e+01 6.397676150570337228e+01
9.407300000000000547e-05 5.395431187924994987e+01 5.624998564785182253e+01 5.978317105734066672e+01 6.342396617473271192e+01 6.591094609071807042e+01
9.702399999999999805e-05 5.558582221456727979e+01 5.795091426225634734e+01 6.159093874190280360e+01 6.534182691128468434e+01 6.790400996294782487e+01
1.000699999999999957e-04 5.726673574319924143e+01 5.970334810058301400e+01 6.345344680686896766e+01 6.731776171740729353e+01 6.995742510457304775e+01
1.032099999999999961e-04 5.899825742108036053e+01 6.150854338780555253e+01 6.537203038346854100e+01 6.935318703382178285e+01 7.207266349777405878e+01
1.064400000000000041e-04 6.078159220414509178e+01 6.336775634889762898e+01 6.734802460293084891e+01 7.144951930124933881e+01 7.425119712473126299e+01
1.097799999999999959e-04 6.261915000426248668e+01 6.528349943380672471e+01 6.938409972771466983e+01 7.360959140113247656e+01 7.649596994980541353e+01
1.132299999999999984e-04 6.451334073330151853e+01 6.725828509248022158e+01 7.148292602027869691e+01 7.583623621491365441e+01 7.880992593735726359e+01
1.167800000000000034e-04 6.646295943532770423e+01 6.929085709994441800e+01 7.364316834939357648e+01 7.812803730187165741e+01 8.119159310520643658e+01
1.204400000000000056e-04 6.847282593407904017e+01 7.138624035609416296e+01 7.587016723997678014e+01 8.049066042489135953e+01 8.364685938207439619e+01
1.242199999999999999e-04 7.054173527362104323e+01 7.354317863595572646e+01 7.816258756079893999e+01 8.292268914325160267e+01 8.617425278578083692e+01
1.281200000000000134e-04 7.267450727769171692e+01 7.576669683942397171e+01 8.052576983677752764e+01 8.542978921983727503e+01 8.877966124504722245e+01
1.321399999999999918e-04 7.487114194629106123e+01 7.805679496649891291e+01 8.295971406791254310e+01 8.801196065464840501e+01 9.146308475987358122e+01
1.362799999999999895e-04 7.713404919128807080e+01 8.041598546712792484e+01 8.546709051666269374e+01 9.067203632912745093e+01 9.422746729462060955e+01
1.405599999999999959e-04 7.946563892455176870e+01 8.284678079125848171e+01 8.805056944548672959e+01 9.341284912471688529e+01 9.707575281364913167e+01
1.449599999999999945e-04 8.186711610201666645e+01 8.535043716386424251e+01 9.071148598561401855e+01 9.623581548213792303e+01 1.000094132991394673e+02
1.495099999999999966e-04 8.434089063555173027e+01 8.792946703489266724e+01 9.345251039950329641e+01 9.914376828283309351e+01 1.030313927154524123e+02
1.542000000000000076e-04 8.688937243702604007e+01 9.058638285429115911e+01 9.627631294961329900e+01 1.021395404082447556e+02 1.061446350269486913e+02
1.590399999999999952e-04 8.951376646237400792e+01 9.332244084703343390e+01 9.918422876717340841e+01 1.052245482990942520e+02 1.093506122158086669e+02
1.640300000000000135e-04 9.221889253533367992e+01 9.614266591301435483e+01 1.021815983771010394e+02 1.084044577182664995e+02 1.126552122107539020e+02
1.691700000000000083e-04 9.500354569997060139e+01 9.904580182726020610e+01 1.052670866481668668e+02 1.116778522250402119e+02 1.160569630296039776e+02
1.744799999999999964e-04 9.787375073595723052e+01 1.020381297146395099e+02 1.084473692365176873e+02 1.150518140230216204e+02 1.195632245832607765e+02
