# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
   32       1.462282285369e-10       3.623125511305e-15       2.628597087473e-13       0.000000000000e+00       1.405764667087e-10       1.465345939235e-11      -1.976959077584e-14       1.829740987023e-02      -4.524194360026e-07       5.944134241420e-08       1.258072698910e-08       2.356283784795e-08       4.918779901851e-03      -4.345563653345e-09       1.312211219498e-09       9.678974450813e-09       1.182021785871e-03      -1.596068989139e-08       9.630840777133e-10       5.069626731923e-04      -1.293382653968e-07       2.700935565393e-04       2.293796117836e-07       1.049323591655e-07       3.395042701564e-08       1.642957333397e-08       9.727769353294e-09 
   33       1.484215919913e-10       4.027372594809e-15       2.660288665360e-13       0.000000000000e+00       1.324243771430e-10       1.388032471104e-11      -2.341479481353e-14       1.921217208025e-02       4.414266317199e-09      -6.810794984627e-10       4.801176704520e-10       1.829339009620e-08       5.215065433174e-03       1.159112149278e-08       1.444576373413e-09       1.184628453987e-08       1.256495715661e-03      -1.325229882998e-08      -1.488740757190e-09       5.390480343005e-04      -1.251519185520e-07       2.871995307456e-04       2.257431012985e-07       1.053584751536e-07       3.441292804995e-08       1.670318528519e-08       9.904861466667e-09 
   34       1.506336603606e-10       4.450532309840e-15       2.673369390907e-13       0.000000000000e+00       1.248962252092e-10       1.314884461656e-11      -2.491704908073e-14       2.013346813819e-02       1.297898216619e-06      -2.082290071884e-07      -3.323836989684e-08       1.218015608412e-09       5.518013319904e-03       3.103503770417e-08       1.588595971093e-09       1.236703557682e-08       1.333152899750e-03      -1.083363201460e-08      -3.931217199495e-09       5.721128000440e-04      -1.213683020204e-07       3.048323604270e-04       2.219855676217e-07       1.056888680410e-07       3.485097724779e-08       1.696637683031e-08       1.007616268244e-08 
   35       1.528708633112e-10       4.895321021934e-15       2.667263119202e-13       0.000000000000e+00       1.179535200515e-10       1.245981245289e-11      -2.437605136191e-14       2.105683258576e-02       2.024493450047e-06      -3.306292034795e-07      -5.216771918225e-08      -8.494388979605e-09       5.827375904269e-03       4.701741091345e-08       1.593226354345e-09       1.122334455399e-08       1.411973165671e-03      -8.871115637178e-09      -5.569317578936e-09       6.061526516522e-04      -1.173359373963e-07       3.229916804803e-04       2.181411536678e-07       1.059295911376e-07       3.526529995286e-08       1.721954057404e-08       1.024188886812e-08 
   36       1.551406879836e-10       5.366888558986e-15       2.642665782739e-13       0.000000000000e+00       1.115406010741e-10       1.181852348335e-11      -2.223910256706e-14       2.197587058573e-02      -1.108723539912e-09       2.973648376509e-10       2.800580499116e-10       1.860403275189e-08       6.142902164555e-03       4.994399560317e-08       1.251845843961e-09       8.489709480864e-09       1.492934308045e-03      -7.312393936518e-09      -5.472210460837e-09       6.411621172719e-04      -1.122353371986e-07       3.416771948209e-04       2.142359494453e-07       1.060847106509e-07       3.565616694679e-08       1.746287034077e-08       1.040216479549e-08 
   37       1.574452678937e-10       5.870553349241e-15       2.600685073800e-13       0.000000000000e+00       1.055740470184e-10       1.122733632748e-11      -1.905737275595e-14       2.288656337277e-02      -6.140731473147e-06       1.016076634316e-06       1.593422800371e-07       1.003049347363e-07       6.464340040250e-03       3.171444556732e-08       4.085295876849e-10       4.411750776273e-09       1.576013007817e-03      -6.090215116048e-09      -2.925518582996e-09       6.771353841603e-04      -1.053845734643e-07       3.608882526343e-04       2.102844107997e-07       1.061558525029e-07       3.602332609490e-08       1.769631025450e-08       1.055697989360e-08 
   38       1.597851776258e-10       6.408573539944e-15       2.542554157471e-13       0.000000000000e+00       1.000384787596e-10       1.068506411157e-11      -1.530822873995e-14       2.379894732146e-02      -1.253588380832e-05       2.076904177471e-06       3.249714489494e-07       1.815508260498e-07       6.791443325267e-03      -2.448334385469e-09      -7.274145774710e-10      -2.216195180182e-10       1.661186516312e-03      -5.175804812465e-09       1.224316044316e-09       7.140676278057e-04      -9.736401527218e-08       3.806225485257e-04       2.063133684806e-07       1.061494861146e-07       3.636817988500e-08       1.792034374637e-08       1.070661423138e-08 
   39       1.621556619279e-10       6.982353786877e-15       2.469878628371e-13       0.000000000000e+00       9.491636865355e-11       1.018683466253e-11      -1.152923822791e-14       2.472949951433e-02      -1.298309142638e-05       2.152209943875e-06       3.363416493899e-07       1.744310089702e-07       7.123968337799e-03      -4.181170116788e-08      -1.787963545941e-09      -4.308372961031e-09       1.748431538686e-03      -4.540260099079e-09       5.452255535050e-09       7.519541105378e-04      -8.927139473038e-08       4.008769732783e-04       2.023428127117e-07       1.060712603620e-07       3.669213841382e-08       1.813538034241e-08       1.085130615121e-08 
   40       1.645447356840e-10       7.593307870930e-15       2.384751602920e-13       0.000000000000e+00       9.015889797385e-11       9.723834713272e-12      -8.375100287017e-15       2.569829434948e-02      -1.091408607187e-08       7.089542436251e-10      -2.440270337400e-10      -2.684521897728e-08       7.461673118277e-03      -7.308935310652e-08      -2.324046448255e-09      -6.514587741351e-09       1.837723809927e-03      -4.138688852769e-09       7.886282224867e-09       7.907898317142e-04      -8.243921919355e-08       4.216479327933e-04       1.983773666340e-07       1.059235413669e-07       3.699591813721e-08       1.834148920257e-08       1.099110743264e-08 
   41       1.669387318224e-10       8.242611202808e-15       2.289157514999e-13       0.000000000000e+00       8.570297439738e-11       9.286100189586e-12      -6.452918673218e-15       2.671513847638e-02       2.997676295898e-05      -4.975648855355e-06      -7.779757854472e-07      -4.708935283524e-07       7.804317166482e-03      -8.409070691707e-08      -1.970492582234e-09      -5.648512691098e-09       1.929038111808e-03      -3.908475619806e-09       6.874512093005e-09       8.305694174977e-04      -7.803856169660e-08       4.429318869548e-04       1.944174047775e-07       1.057069740853e-07       3.727978476298e-08       1.853856332330e-08       1.112596821433e-08 
