# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
   81       2.838336462134e-10       6.423067563555e-14      -1.483493561581e-12       3.042343372174e-16       1.846804491334e-11       2.380877397000e-12      -1.146579007346e-14       3.736160958072e-03       7.368252251982e-08 
   82       2.873498326934e-10       6.623124584401e-14      -1.558119709979e-12       3.118227509739e-16       1.791696933211e-11       2.320556009787e-12      -1.136962078424e-14       3.786365605714e-03       7.284145718848e-08 
   83       2.908967447795e-10       6.824386235635e-14      -1.633796465445e-12       3.195069830650e-16       1.738739348850e-11       2.262485243911e-12      -1.121292568590e-14       3.836363353526e-03       7.201451643911e-08 
   84       2.944743397084e-10       7.026604137931e-14      -1.710445817503e-12       3.272869483167e-16       1.687799892352e-11       2.206515377320e-12      -1.104797633216e-14       3.886190724721e-03       7.120185227748e-08 
   85       2.980824943941e-10       7.229545532099e-14      -1.788001794565e-12       3.351625598902e-16       1.638738232847e-11       2.152489066059e-12      -1.091973086391e-14       3.935885603707e-03       7.040346391373e-08 
   86       3.017217157753e-10       7.433084050910e-14      -1.866462074311e-12       3.431337776732e-16       1.591497252731e-11       2.100349908530e-12      -1.082595169027e-14       3.985481129993e-03       6.961993836263e-08 
   87       3.053925200911e-10       7.637123453377e-14      -1.945844763568e-12       3.512005668951e-16       1.546023810753e-11       2.050048800304e-12      -1.075080738770e-14       4.035010909809e-03       6.885179941031e-08 
   88       3.090952047509e-10       7.841570626010e-14      -2.026173148027e-12       3.593628832213e-16       1.502239921658e-11       2.001509929705e-12      -1.067680075775e-14       4.084510889622e-03       6.809926703704e-08 
   89       3.128298371633e-10       8.046335810557e-14      -2.107475898969e-12       3.676206724803e-16       1.460041797610e-11       1.954629732766e-12      -1.058471923543e-14       4.134019384899e-03       6.736224367101e-08 
   90       3.165962869407e-10       8.251319194422e-14      -2.189766515890e-12       3.759739373565e-16       1.419322251125e-11       1.909301515501e-12      -1.045785342493e-14       4.183575027578e-03       6.664053056340e-08 
   91       3.203943525646e-10       8.456367802000e-14      -2.272977549546e-12       3.844229499171e-16       1.380043974145e-11       1.865495973877e-12      -1.029551066808e-14       4.233210180930e-03       6.593454531616e-08 
   92       3.242236338700e-10       8.661312301776e-14      -2.357016504121e-12       3.929680717198e-16       1.342175917027e-11       1.823191301456e-12      -1.010151707427e-14       4.282956550985e-03       6.524469088276e-08 
   93       3.280834800308e-10       8.865980075465e-14      -2.441785596178e-12       4.016096904832e-16       1.305670331925e-11       1.782347975083e-12      -9.880148905966e-15       4.332847175125e-03       6.457112513159e-08 
   94       3.319729790250e-10       9.070195245949e-14      -2.527181657147e-12       4.103482207959e-16       1.270462156518e-11       1.742908085922e-12      -9.636145523806e-15       4.382916420357e-03       6.391375047152e-08 
   95       3.358909470987e-10       9.273778705197e-14      -2.613096035818e-12       4.191841048242e-16       1.236468397722e-11       1.704794670491e-12      -9.374722331703e-15       4.433199981585e-03       6.327220347739e-08 
   96       3.398362460849e-10       9.476541943388e-14      -2.699423108165e-12       4.281178661806e-16       1.203605140778e-11       1.667923012073e-12      -9.101516309291e-15       4.483732981241e-03       6.264605211440e-08 
   97       3.438088110712e-10       9.678267447244e-14      -2.786087436397e-12       4.371502789687e-16       1.171842746630e-11       1.632237877923e-12      -8.822385483636e-15       4.534543955199e-03       6.203544275975e-08 
   98       3.478087538291e-10       9.878725480481e-14      -2.873020409834e-12       4.462822248278e-16       1.141157602482e-11       1.597680499967e-12      -8.543604059329e-15       4.585659982185e-03       6.144052878536e-08 
   99       3.518360420987e-10       1.007767997638e-13      -2.960152004068e-12       4.555146433483e-16       1.111514830324e-11       1.564176580776e-12      -8.271939142079e-15       4.637108478339e-03       6.086126377608e-08 
  100       3.558904932787e-10       1.027488848585e-13      -3.047410794376e-12       4.648485334649e-16       1.082867897774e-11       1.531635778854e-12      -8.014662815094e-15       4.688917171017e-03       6.029739383045e-08 
  101       3.599717681158e-10       1.047010212545e-13      -3.134723969130e-12       4.742849548506e-16       1.055158228931e-11       1.499951193937e-12      -7.779564215447e-15       4.741114072596e-03       5.974844986149e-08 
  102       3.640794250912e-10       1.066308242855e-13      -3.222019425449e-12       4.838249797369e-16       1.028327293947e-11       1.469025976446e-12      -7.573106871428e-15       4.793725812642e-03       5.921392237812e-08 
  103       3.682131057224e-10       1.085365465410e-13      -3.309232355976e-12       4.934695378129e-16       1.002355613470e-11       1.438858440051e-12      -7.394585622354e-15       4.846772429281e-03       5.869382985217e-08 
  104       3.723723631354e-10       1.104166175238e-13      -3.396299597846e-12       5.032195524743e-16       9.772284230142e-12       1.409467759730e-12      -7.241184234788e-15       4.900271808837e-03       5.818821460799e-08 
  105       3.765565980968e-10       1.122694825620e-13      -3.483157668103e-12       5.130759893080e-16       9.529234298582e-12       1.380867690915e-12      -7.109749357422e-15       4.954241219093e-03       5.769696177882e-08 
  106       3.807650533961e-10       1.140936042205e-13      -3.569742800895e-12       5.230398569197e-16       9.294105664270e-12       1.353066364596e-12      -6.996781412536e-15       5.008697264338e-03       5.721979369187e-08 
  107       3.849968082291e-10       1.158874637117e-13      -3.655990984667e-12       5.331122077609e-16       9.066517436745e-12       1.326066082429e-12      -6.898425487460e-15       5.063655840429e-03       5.675626425343e-08 
  108       3.892507725802e-10       1.176495623073e-13      -3.741837999351e-12       5.432941389565e-16       8.846006044657e-12       1.299863111841e-12      -6.810462226044e-15       5.119132089838e-03       5.630575333392e-08 
  109       3.935258542404e-10       1.193783629606e-13      -3.827218377521e-12       5.535866864237e-16       8.632116743192e-12       1.274447346957e-12      -6.729006743788e-15       5.175139258728e-03       5.586762395857e-08 
  110       3.978214964339e-10       1.210721035764e-13      -3.912062055517e-12       5.639904899097e-16       8.424696862979e-12       1.249801681469e-12      -6.652727520400e-15       5.231685196881e-03       5.544172900716e-08 
  111       4.021371994221e-10       1.227289621598e-13      -3.996297357494e-12       5.745060860530e-16       8.223635986365e-12       1.225902171206e-12      -6.580898286652e-15       5.288775319709e-03       5.502795973732e-08 
  112       4.064723502279e-10       1.243471152529e-13      -4.079852058941e-12       5.851340109888e-16       8.028773849695e-12       1.202717957230e-12      -6.512713606525e-15       5.346413610559e-03       5.462608488659e-08 
  113       4.108262187469e-10       1.259247387475e-13      -4.162653413101e-12       5.958748001084e-16       7.839898817663e-12       1.180211059593e-12      -6.447286854813e-15       5.404602564778e-03       5.423574668684e-08 
  114       4.151979538579e-10       1.274600086982e-13      -4.244628177396e-12       6.067289878184e-16       7.656746357651e-12       1.158336171101e-12      -6.383648194731e-15       5.463343133780e-03       5.385645687884e-08 
  115       4.195865795335e-10       1.289511021347e-13      -4.325702639854e-12       6.176971073005e-16       7.478997514074e-12       1.137040451079e-12      -6.320742555515e-15       5.522634669110e-03       5.348759272673e-08 
