# Halofit, tahahashi 
#  k, P(k)
2.112559999999999980e-05 6.366649999999999210e+01
2.126439999999999922e-05 6.406999999999999318e+01
2.140410000000000061e-05 6.447629999999999484e+01
2.154470000000000059e-05 6.488490000000000180e+01
2.168629999999999937e-05 6.529640000000000555e+01
2.182869999999999990e-05 6.571009999999999707e+01
2.197219999999999946e-05 6.612689999999999202e+01
2.211650000000000077e-05 6.654599999999999227e+01
2.226180000000000089e-05 6.696779999999999688e+01
2.240809999999999981e-05 6.739249999999999829e+01
2.255530000000000070e-05 6.781959999999999411e+01
2.270350000000000040e-05 6.824960000000000093e+01
2.285259999999999868e-05 6.868210000000000548e+01
2.300279999999999938e-05 6.911759999999999593e+01
2.315389999999999866e-05 6.955570000000000164e+01
2.330600000000000014e-05 6.999659999999998661e+01
2.345920000000000064e-05 7.044050000000000011e+01
2.361329999999999972e-05 7.088700000000000045e+01
2.376840000000000100e-05 7.133629999999999427e+01
2.392460000000000130e-05 7.178860000000000241e+01
2.408180000000000040e-05 7.224370000000000402e+01
2.423999999999999831e-05 7.270170000000000243e+01
2.439919999999999841e-05 7.316240000000000521e+01
2.455950000000000093e-05 7.362619999999999720e+01
2.472089999999999908e-05 7.409300000000000352e+01
2.488329999999999942e-05 7.456270000000000664e+01
2.504679999999999878e-05 7.503539999999999566e+01
2.521140000000000056e-05 7.551120000000000232e+01
2.537700000000000115e-05 7.598980000000000246e+01
2.554370000000000075e-05 7.647140000000000271e+01
2.571149999999999938e-05 7.695619999999999550e+01
2.588050000000000065e-05 7.744419999999999504e+01
2.605050000000000071e-05 7.793510000000000559e+01
2.622170000000000002e-05 7.842929999999999779e+01
2.639390000000000152e-05 7.892639999999998679e+01
2.656729999999999888e-05 7.942669999999999675e+01
2.674189999999999887e-05 7.993040000000000589e+01
2.691760000000000127e-05 8.043710000000001514e+01
2.709439999999999931e-05 8.094670000000000698e+01
2.727239999999999997e-05 8.145980000000000132e+01
2.745159999999999988e-05 8.197629999999999484e+01
2.763199999999999904e-05 8.249610000000001264e+01
2.781350000000000060e-05 8.301890000000000214e+01
2.799630000000000163e-05 8.354540000000001498e+01
2.818020000000000168e-05 8.407470000000000709e+01
2.836530000000000098e-05 8.460760000000001924e+01
2.855169999999999974e-05 8.514409999999999457e+01
2.873930000000000112e-05 8.568370000000000175e+01
2.892809999999999837e-05 8.622679999999999723e+01
2.911810000000000163e-05 8.677309999999999945e+01
2.930950000000000119e-05 8.732349999999999568e+01
2.950199999999999977e-05 8.787680000000000291e+01
2.969580000000000120e-05 8.843370000000000175e+01
2.989089999999999870e-05 8.899429999999999552e+01
3.008729999999999906e-05 8.955849999999999511e+01
3.028499999999999888e-05 9.012609999999999388e+01
3.048400000000000155e-05 9.069750000000000512e+01
3.068430000000000029e-05 9.127259999999999707e+01
3.088590000000000188e-05 9.185120000000000573e+01
3.108879999999999955e-05 9.243340000000000600e+01
3.129300000000000007e-05 9.301919999999999789e+01
3.149859999999999688e-05 9.360890000000000555e+01
3.170559999999999676e-05 9.420250000000000057e+01
3.191389999999999949e-05 9.479959999999999809e+01
3.212349999999999830e-05 9.540040000000000475e+01
3.233460000000000040e-05 9.600530000000000541e+01
3.254699999999999857e-05 9.661379999999998347e+01
3.276090000000000003e-05 9.722639999999999816e+01
3.297609999999999756e-05 9.784269999999999357e+01
3.319279999999999838e-05 9.846309999999999718e+01
3.341080000000000205e-05 9.908700000000001751e+01
3.363030000000000224e-05 9.971520000000001005e+01
3.385129999999999894e-05 1.003469999999999942e+02
3.407369999999999870e-05 1.009839999999999804e+02
3.429760000000000176e-05 1.016239999999999810e+02
3.452290000000000111e-05 1.022679999999999865e+02
3.474969999999999698e-05 1.029159999999999968e+02
3.497800000000000290e-05 1.035680000000000121e+02
3.520779999999999857e-05 1.042249999999999943e+02
3.543909999999999752e-05 1.048850000000000051e+02
3.567199999999999999e-05 1.055510000000000304e+02
3.590629999999999874e-05 1.062189999999999941e+02
3.614220000000000101e-05 1.068929999999999865e+02
3.637970000000000000e-05 1.075699999999999932e+02
3.661870000000000229e-05 1.082519999999999953e+02
3.685930000000000131e-05 1.089379999999999882e+02
