# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]    
  238       3.526766512026e+00       3.772805498020e-08       1.942984473852e+00 
  239       3.536575959996e+00       4.524610950124e-08       1.949600153416e+00 
  240       3.546360074248e+00       5.365063265229e-08       1.956221133958e+00 
  241       3.556118979870e+00       6.284657326043e-08       1.962845560513e+00 
  242       3.565852761357e+00       7.273522401668e-08       1.969471488314e+00 
  243       3.575561461803e+00       8.321418206717e-08       1.976096881657e+00 
  244       3.585245124542e+00       9.404755290192e-08       1.982719541021e+00 
  245       3.594903922476e+00       1.044681322024e-07       1.989336882034e+00 
  246       3.604538034821e+00       1.135516292161e-07       1.995946141225e+00 
  247       3.614147604617e+00       1.203440094457e-07       2.002544445309e+00 
  248       3.623732738007e+00       1.238611947721e-07       2.009128809898e+00 
  249       3.633293503511e+00       1.230887635773e-07       2.015696138214e+00 
  250       3.642829975044e+00       1.174216941799e-07       2.022243579271e+00 
  251       3.652342365225e+00       1.080123576695e-07       2.028769627963e+00 
  252       3.661830898357e+00       9.649975162389e-08       2.035273085977e+00 
  253       3.671295766732e+00       8.457699705280e-08       2.041752707453e+00 
  254       3.680737129993e+00       7.399188003768e-08       2.048207198381e+00 
  255       3.690155114491e+00       6.654739337168e-08       2.054635216012e+00 
  256       3.699549836693e+00       6.350694685564e-08       2.061035776054e+00 
  257       3.708921476191e+00       6.377170669780e-08       2.067409500980e+00 
  258       3.718270205559e+00       6.560152818989e-08       2.073757440953e+00 
  259       3.727596166088e+00       6.720049508793e-08       2.080080672510e+00 
  260       3.736899467180e+00       6.671637540941e-08       2.086380298701e+00 
  261       3.746180185757e+00       6.224007723044e-08       2.092657449241e+00 
  262       3.755438392783e+00       5.242389461519e-08       2.098913398746e+00 
  263       3.764674235706e+00       3.837512252002e-08       2.105149928380e+00 
  264       3.773887859402e+00       2.186575736838e-08       2.111368984427e+00 
  265       3.783079378904e+00       4.723633636806e-09       2.117572562342e+00 
  266       3.792248878861e+00      -1.116704272302e-08       2.123762707104e+00 
  267       3.801396412980e+00      -2.386516086233e-08       2.129941513565e+00 
  268       3.810522034911e+00      -3.187213469645e-08       2.136110946211e+00 
  269       3.819625893868e+00      -3.566110727479e-08       2.142272286937e+00 
  270       3.828708143091e+00      -3.622913755192e-08       2.148426658190e+00 
  271       3.837768908381e+00      -3.460495661606e-08       2.154575200931e+00 
  272       3.846808287600e+00      -3.184926647543e-08       2.160719074690e+00 
  273       3.855826350180e+00      -2.905503884476e-08       2.166859457615e+00 
  274       3.864823165139e+00      -2.712335376971e-08       2.172997273243e+00 
  275       3.873798887826e+00      -2.607721076470e-08       2.179132354749e+00 
  276       3.882753676786e+00      -2.571210968982e-08       2.185264236718e+00 
  277       3.891687665194e+00      -2.581719331386e-08       2.191392424075e+00 
  278       3.900600960407e+00      -2.617518863271e-08       2.197516391704e+00 
  279       3.909493643510e+00      -2.656234818772e-08       2.203635584058e+00 
  280       3.918365768860e+00      -2.674839138404e-08       2.209749414782e+00 
  281       3.927217391198e+00      -2.651232554097e-08       2.215857193273e+00 
  282       3.936048649442e+00      -2.569093059013e-08       2.221957900985e+00 
  283       3.944859686318e+00      -2.413265434143e-08       2.228050402869e+00 
  284       3.953650620784e+00      -2.168192296058e-08       2.234133518897e+00 
  285       3.962421547617e+00      -1.817910633488e-08       2.240206023564e+00 
  286       3.971172536999e+00      -1.346048343907e-08       2.246266645397e+00 
  287       3.979903634110e+00      -7.358207701124e-09       2.252314066459e+00 
  288       3.988614886345e+00       1.958998809674e-10       2.258347103393e+00 
  289       3.997306427317e+00       8.853133912122e-09       2.264365261639e+00 
  290       4.005978396270e+00       1.814926076026e-08       2.270368208082e+00 
  291       4.014630910461e+00       2.760679668004e-08       2.276355591789e+00 
  292       4.023264064788e+00       3.673489275309e-08       2.282327043774e+00 
  293       4.031877931420e+00       4.502921982818e-08       2.288282176766e+00 
  294       4.040472559425e+00       5.197185346142e-08       2.294220584977e+00 
  295       4.049048000039e+00       5.717486512894e-08       2.300142020345e+00 
  296       4.057604384597e+00       6.081912022303e-08       2.306046931305e+00 
  297       4.066141849702e+00       6.323677296244e-08       2.311935949986e+00 
  298       4.074660511587e+00       6.476958123433e-08       2.317809718119e+00 
  299       4.083160465791e+00       6.576898902372e-08       2.323668887053e+00 
  300       4.091641786811e+00       6.659620884275e-08       2.329514117761e+00 
  301       4.100104527776e+00       6.762230416005e-08       2.335346080849e+00 
  302       4.108548743148e+00       6.912376953370e-08       2.341165464380e+00 
  303       4.116974558742e+00       7.096356960575e-08       2.346972997723e+00 
  304       4.125382104406e+00       7.289497779678e-08       2.352769428862e+00 
  305       4.133771490980e+00       7.466464670427e-08       2.358555516711e+00 
  306       4.142142809983e+00       7.601255348869e-08       2.364332031133e+00 
  307       4.150496133315e+00       7.667194525970e-08       2.370099752959e+00 
  308       4.158831512946e+00       7.636928446226e-08       2.375859474009e+00 
  309       4.167149003108e+00       7.489232058160e-08       2.381611872913e+00 
  310       4.175448728647e+00       7.229794206217e-08       2.387357136088e+00 
  311       4.183730819278e+00       6.871395440108e-08       2.393095319045e+00 
  312       4.191995387097e+00       6.427186218689e-08       2.398826468850e+00 
  313       4.200242526307e+00       5.910689983031e-08       2.404550623994e+00 
  314       4.208472312937e+00       5.335806229493e-08       2.410267814252e+00 
  315       4.216684804566e+00       4.716813582801e-08       2.415978060549e+00 
  316       4.224880040048e+00       4.068372869113e-08       2.421681374825e+00 
  317       4.233058062231e+00       3.401815160419e-08       2.427377694826e+00 
  318       4.241218987849e+00       2.713812252239e-08       2.433066685453e+00 
  319       4.249362940285e+00       1.997194691325e-08       2.438747928074e+00 
  320       4.257490026604e+00       1.244618798812e-08       2.444420984568e+00 
  321       4.265600337303e+00       4.485653208952e-09       2.450085397110e+00 
  322       4.273693946065e+00      -3.986619204812e-09       2.455740687958e+00 
  323       4.281770909505e+00      -1.304937376944e-08       2.461386359242e+00 
  324       4.289831266919e+00      -2.278315123005e-08       2.467021892749e+00 
  325       4.297875060692e+00      -3.317771881904e-08       2.472646822334e+00 
  326       4.305902399019e+00      -4.384977610100e-08       2.478260955151e+00 
