# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
 1858       1.010628162714e+01       6.033712349988e-06       2.881770705472e-06       3.220033634704e-09       2.737954569283e-09       3.500664644963e-10       9.865179857142e+00      -2.263933136161e-07      -5.118530117651e-10      -2.006011147527e-09      -1.014597963713e-09       9.636663594839e+00      -4.152276186861e-10      -1.932517885765e-09      -9.889435348217e-10       1.446566288935e+00      -5.308996844932e-08       7.381853297264e-10       1.267494579017e+00      -4.980677057994e-08       1.118695333607e+00 
 1859       1.010843035538e+01       6.025463715371e-06       2.871380467241e-06       3.127195706558e-09       2.620400042904e-09       3.191843586253e-10       9.867300186266e+00      -2.416532483988e-07      -6.149402802046e-10      -2.137135547890e-09      -1.052524962410e-09       9.638756643838e+00      -5.093008267598e-10      -2.051350908928e-09      -1.020092072522e-09       1.447084690035e+00      -5.603491596958e-08       1.792727196567e-09       1.267958032206e+00      -5.264870829463e-08       1.119111861379e+00 
 1860       1.011057812178e+01       6.016981024025e-06       2.860787308787e-06       3.032404969717e-09       2.499289014631e-09       2.871064433265e-10       9.869419567793e+00      -2.565574576737e-07      -7.165855383430e-10      -2.267882722848e-09      -1.089990620499e-09       9.640848759094e+00      -6.019011147597e-10      -2.169461489539e-09      -1.051388810198e-09       1.447602918694e+00      -5.859329539894e-08       2.761298862657e-09       1.268421336218e+00      -5.495193874221e-08       1.119528250140e+00 
 1861       1.011272492668e+01       6.008285202210e-06       2.850011953489e-06       2.935762435679e-09       2.374665434466e-09       2.538275685723e-10       9.871538002123e+00      -2.710716389817e-07      -8.167133844381e-10      -2.398161686066e-09      -1.126892540156e-09       9.642939940965e+00      -6.929495040446e-10      -2.286749758193e-09      -1.082809074067e-09       1.448120975078e+00      -6.072993918585e-08       3.628780241818e-09       1.268884491116e+00      -5.666681674955e-08       1.119944499713e+00 
 1862       1.011487077058e+01       5.999399895786e-06       2.839076768133e-06       2.837372104701e-09       2.246588938842e-09       2.193468259386e-10       9.873655489804e+00      -2.851668485542e-07      -9.152524641176e-10      -2.527869755920e-09      -1.163144842750e-09       9.645030189953e+00      -7.823766454158e-10      -2.403117144766e-09      -1.114324386071e-09       1.448638859353e+00      -6.241815156352e-08       4.383205230329e-09       1.269347496957e+00      -5.775731635262e-08       1.120360609971e+00 
 1863       1.011701565482e+01       5.990359375103e-06       2.828010433572e-06       2.737348595122e-09       2.115181370704e-09       1.836803404424e-10       9.875772032145e+00      -2.988360550728e-07      -1.012148572318e-09      -2.656858527759e-09      -1.198729176017e-09       9.647119507313e+00      -8.701527609159e-10      -2.518471550608e-09      -1.145891340609e-09       1.449156571695e+00      -6.366563910967e-08       5.025443484814e-09       1.269810353776e+00      -5.824263026620e-08       1.120776580994e+00 
 1864       1.011915958090e+01       5.981200692488e-06       2.816843311020e-06       2.635809575233e-09       1.980580625683e-09       1.468485792253e-10       9.877887630605e+00      -3.120777156337e-07      -1.107351653514e-09      -2.784967633184e-09      -1.233644106619e-09       9.649207894449e+00      -9.562579365101e-10      -2.632722215887e-09      -1.177462640096e-09       1.449674112281e+00      -6.448878359844e-08       5.559594567807e-09       1.270273061601e+00      -5.815589681503e-08       1.121192412913e+00 
 1865       1.012130255028e+01       5.971961060711e-06       2.805605893163e-06       2.532873233780e-09       1.842925223847e-09       1.088721090487e-10       9.880002286596e+00      -3.248902853339e-07      -1.200811455837e-09      -2.912036024874e-09      -1.267888202517e-09       9.651295352715e+00      -1.040672191132e-09      -2.745778003448e-09      -1.208990783874e-09       1.450191481281e+00      -6.490404170541e-08       5.989776810708e-09       1.270735620456e+00      -5.753040283787e-08       1.121608105857e+00 
 1866       1.012344456437e+01       5.962677853194e-06       2.794328804343e-06       2.428658280666e-09       1.702354310547e-09       6.977159643233e-11       9.882116001475e+00      -3.372722172709e-07      -1.292477530819e-09      -3.037901975688e-09      -1.301460032978e-09       9.653381883415e+00      -1.123375476603e-09      -2.857547398316e-09      -1.240428067943e-09       1.450708678865e+00      -6.492794511002e-08       6.320127339474e-09       1.271198030362e+00      -5.639958388937e-08       1.122023659949e+00 
 1867       1.012558562452e+01       5.953388604233e-06       2.783042800725e-06       2.323283947658e-09       1.559007657272e-09       2.956780779285e-11       9.884228776550e+00      -3.492219625420e-07      -1.382299233140e-09      -3.162403077754e-09      -1.334358168579e-09       9.655467487807e+00      -1.204347677551e-09      -2.967938507196e-09      -1.271726584685e-09       1.451225705196e+00      -6.457710059800e-08       6.554802100301e-09       1.271660291333e+00      -5.479702444201e-08       1.122439075313e+00 
