# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
   34       6.131412514962e-01       9.178387067310e-02       1.152691709806e-02       1.384300905441e-09       8.567534545065e-11      -2.252959401623e-10       5.720330359061e-01       8.888165147586e-02      -2.139252814731e-09      -8.945632229511e-11       1.974288996354e-10       5.347411088467e-01      -7.548908031517e-09      -3.643881786215e-11      -1.436868533295e-10       9.186228534289e-03       1.834703081608e-09      -5.851480489389e-10       2.037451647417e-04       2.650084811601e-05       1.945206266634e-04 
   35       6.363605457619e-01       9.338953983206e-02       1.285168203871e-02      -7.798181855555e-09      -8.969150557256e-11      -1.488502583171e-10       5.946532437869e-01       9.061912344936e-02      -1.174098224648e-08      -1.104230931061e-10       2.632454744655e-10       5.561338072418e-01      -1.229565880477e-08      -1.471793325832e-10      -1.333600588994e-10       9.708605570868e-03       6.077976257101e-10       1.806600990565e-11       2.158674476574e-04       2.824171595141e-05       2.060946936412e-04 
   36       6.588493582463e-01       9.452303230002e-02       1.430713027149e-02      -3.347553253386e-09      -1.139828997089e-10      -5.650741383822e-11       6.170105087677e-01       9.230520501505e-02      -2.654271564939e-09       5.360589991963e-11       1.698273718442e-10       5.776631672145e-01       1.524855110360e-09      -8.775730188497e-11      -1.747617527605e-10       1.024294374611e-02      -1.604709868163e-09       2.655338616971e-10       2.283413140161e-04       3.004318213262e-05       2.180045639233e-04 
   37       6.804675983007e-01       9.498519235855e-02       1.567611151693e-02       5.091327541913e-09      -7.273767910471e-11       6.631783681557e-11       6.388750807384e-01       9.372588258966e-02       9.651541015467e-09       2.313494859885e-10      -5.693086064201e-12       5.991125910289e-01       1.451640159585e-08      -2.254843843156e-11      -1.692640623519e-10       1.078897267621e-02      -3.916212710253e-09       8.928737834647e-10       2.411662724073e-04       3.190523862989e-05       2.302497966454e-04 
   38       7.011431904616e-01       9.460982787194e-02       1.672961126228e-02       3.348090568353e-09      -1.049848681289e-10       2.296775595757e-10       6.600361437158e-01       9.465785288152e-02       4.768855057971e-09       2.057721237583e-10      -1.404442814388e-10       6.202481579247e-01       4.323660102719e-09      -1.409607243174e-10      -6.973347224144e-12       1.134642121632e-02      -5.269413443523e-09       2.681796885155e-09       2.543417802148e-04       3.382781927644e-05       2.428299227469e-04 
   39       7.209526244408e-01       9.335563382452e-02       1.729829216056e-02      -2.490623106203e-09      -1.397794382692e-10       3.312307109798e-10       6.803908002048e-01       9.494132545438e-02      -5.625368138330e-09       8.243858806186e-11      -2.346787151167e-10       6.408805549608e-01      -1.069534065875e-08      -2.594328440959e-10       2.034656044969e-10       1.191501908173e-02      -5.287366614837e-09       4.997383385210e-09       2.678672082761e-04       3.581081648741e-05       2.557443458425e-04 
   40       7.400545205677e-01       9.124889725708e-02       1.724180216926e-02      -2.322858679790e-09      -7.224121053348e-11       2.583420961022e-10       6.998949606595e-01       9.444851206107e-02      -4.075816536387e-09       3.265518411509e-11      -3.050782209280e-10       6.608418592419e-01      -5.966937360789e-09      -1.453761433966e-10       3.060595636839e-10       1.249449707261e-02      -4.035341733851e-09       6.661396198167e-09       2.817418236793e-04       3.785405368517e-05       2.689923838913e-04 
   41       7.586909597224e-01       8.842828540079e-02       1.651821936017e-02       8.273732293290e-10       3.108767819833e-11       5.143355085759e-11       7.186224241484e-01       9.315500294118e-02       2.616755905880e-09       2.074699593963e-11      -2.695368433133e-10       6.800564586694e-01       5.837245034321e-09       5.291545755221e-11       2.887960791295e-10       1.308458839339e-02      -2.697323217841e-09       6.364868577727e-09       2.959647020625e-04       3.995722687078e-05       2.825732979044e-04 
   42       7.771564425445e-01       8.509834257640e-02       1.513938024005e-02       1.131192628671e-09       7.676991084914e-11      -1.949961688658e-10       7.367158536633e-01       9.109423932247e-02       2.743256610969e-09      -3.679829731788e-11      -5.698213352618e-11       6.985002201665e-01       5.046155506013e-09       1.188917741233e-10       1.887589503067e-10       1.368502927525e-02      -2.499950420953e-09       3.402186642368e-09       3.105348299923e-04       4.211996136743e-05       2.964861920918e-04 
   43       7.957438261712e-01       8.152031408340e-02       1.320863504093e-02      -3.616905310370e-10       1.156418295245e-10      -3.799079268080e-10       7.543971251454e-01       8.839742132657e-02      -9.665389991230e-10      -1.364951695089e-10       1.908069342707e-10       7.162496147814e-01      -2.531539859900e-09       1.198832330865e-10       6.365319408534e-11       1.429556094966e-02      -2.819350143355e-09       3.755894855538e-10       3.254512703599e-04       4.434189857637e-05       3.107297091164e-04 
   44       8.147383430649e-01       7.798076337233e-02       1.087791688522e-02      -9.774798718822e-10       2.206728758643e-10      -4.154892396356e-10       7.719265101810e-01       8.524703899290e-02      -2.442681799954e-09      -2.469087238564e-10       2.930215175770e-10       7.334360036302e-01      -5.332880206882e-09       1.817956340300e-10      -2.540853260937e-11       1.491592936044e-02      -2.571069913818e-09       2.493918035195e-10       3.407130216393e-04       4.662262138489e-05       3.253024395344e-04 
   45       8.342872024515e-01       7.469586024460e-02       8.326660441380e-03      -6.097967470988e-10       3.478829976475e-10      -3.200063451454e-10       7.895242895346e-01       8.184934745901e-02      -1.531068290626e-09      -3.332561571901e-10       2.423446912089e-10       7.502397528715e-01      -3.265661472876e-09       2.777227888833e-10      -5.520139436029e-11       1.554588518521e-02      -1.405692241017e-09       2.075358018239e-09       3.563188452815e-04       4.896156031773e-05       3.402036884757e-04 
   46       8.545037565680e-01       7.188129813227e-02       5.768606794799e-03       4.264730010064e-11       4.102628623905e-10      -1.493732048561e-10       8.074242379119e-01       7.844534582183e-02       5.297739550527e-11      -3.552966442877e-10       8.707679395472e-11       7.668839351266e-01       1.056529911204e-10       3.286432413909e-10      -1.205889353763e-11       1.618518495335e-02       8.316557474351e-10       3.518753768269e-09       3.722673588033e-04       5.135804392417e-05       3.554329875824e-04 
   47       8.754653656332e-01       6.973594157648e-02       3.429324321294e-03       3.282184420428e-10       3.354420384251e-10       3.203931448404e-11       8.258520652287e-01       7.528502980978e-02       7.161591697926e-10      -2.802121888677e-10      -1.151861041009e-10       7.836074209504e-01       1.477712507484e-09       2.653656303485e-10       1.081823222361e-10       1.683359163397e-02       4.087531251531e-09       2.495647408536e-09       3.885571427389e-04       5.381141011333e-05       3.709896843865e-04 
   48       8.970739771586e-01       6.829707540045e-02       1.460310222288e-03       2.570699940628e-10       1.652434580666e-10       1.626562168059e-10       8.448837198851e-01       7.252524885316e-02       5.162199824353e-10      -1.286741501486e-10      -3.031392676046e-10       8.005807396992e-01       1.004490690612e-09       1.082746830204e-10       2.643073884611e-10       1.749087430678e-02       7.366785610988e-09      -5.430781559961e-10       4.051869821142e-04       5.632131598380e-05       3.868721849451e-04 
   49       9.191552811086e-01       6.754555659645e-02       3.657410625325e-06       4.987913240919e-11      -1.666775265360e-11       1.745137781619e-10       8.645490737041e-01       7.030598299881e-02       3.997260942426e-11       5.855421393843e-11      -4.066860382536e-10       8.179696542507e-01      -4.741619881496e-11      -9.080952499996e-11       3.953652735472e-10       1.815680979337e-02       9.255727913507e-09      -4.280397381451e-09       4.221556903111e-04       5.888751388900e-05       4.030785033034e-04 
   50       9.414979370105e-01       6.742513952192e-02      -8.147635072983e-04      -8.488666977777e-11      -1.293242753867e-10       2.780895164754e-11       8.848442933140e-01       6.874600320933e-02      -1.691351300902e-10       2.350923023379e-10      -3.721585822338e-10       8.359246900769e-01      -5.059133325424e-10      -2.755507213955e-10       4.435545507513e-10       1.883118341096e-02       8.480857567794e-09      -7.380444585529e-09       4.394620335746e-04       6.150959399978e-05       4.196067214956e-04 
   51       9.638621752574e-01       6.777623729259e-02      -9.895513385988e-04      -1.278851235647e-10      -1.525874580854e-10      -1.623749457422e-10       9.056438638648e-01       6.783257389749e-02      -1.131229368504e-10       3.556234977346e-10      -2.529954058722e-10       8.544659985985e-01      -3.791053313086e-10      -4.022363119688e-10       3.986675736462e-10       1.951378858134e-02       5.121086507667e-09      -9.226312447464e-09       4.571046992471e-04       6.418640660166e-05       4.364558358051e-04 
   52       9.859695011173e-01       6.838218830303e-02      -5.587541520130e-04      -1.162302326199e-10      -8.345637861595e-11      -2.192441737093e-10       9.267634814031e-01       6.750246832997e-02       3.621170561470e-11       3.703269731818e-10      -1.427364094198e-10       8.735685198688e-01      -4.301722996180e-11      -4.264014383783e-10       2.648003911446e-10       2.020442849402e-02      -2.950645589279e-10      -9.360507856350e-09       4.750823215197e-04       6.691648837964e-05       4.536251290802e-04 
   53       1.007540048131e+00       6.900436403285e-02       4.113808276937e-04      -8.791001568087e-11       6.200189915245e-11      -1.036179643549e-11       9.479918451155e-01       6.766179852946e-02       1.199266526463e-10       2.520717538609e-10      -1.258310538042e-10       8.931778677095e-01       1.537121817847e-10      -3.214588589824e-10       6.234740685260e-11       2.090291592373e-02      -6.961841051243e-09      -7.492972851028e-09       4.933933803468e-04       6.969846659913e-05       4.711137087128e-04 
   54       1.028430952491e+00       6.944316311283e-02       1.782562593177e-03      -6.173539413908e-11       1.883823653432e-10       3.158078876514e-10       9.691200187909e-01       6.815270090827e-02       1.325537861022e-10       9.341060046178e-11      -1.971686475547e-10       9.131585629957e-01       1.953466004002e-10      -1.570141589120e-10      -1.244158639456e-10       2.160906974072e-02      -1.325679291082e-08      -4.220874204285e-09       5.120358347612e-04       7.253187263451e-05       4.889197502978e-04 
   55       1.048529767977e+00       6.948908472930e-02       3.375514645333e-03      -5.285341170578e-11       1.656089574987e-10       5.079052785546e-10       9.899162496015e-01       6.877601229333e-02       1.150533138230e-10       3.399624496199e-11      -3.231607800489e-10       9.333309154916e-01       1.664296896588e-10      -4.022901499664e-11      -1.824863431941e-10       2.232271886340e-02      -1.713107833515e-08      -4.902488864475e-10       5.310073970766e-04       7.541652872258e-05       5.070410693271e-04 
   56       1.067757659255e+00       6.894542025344e-02       4.994877880311e-03      -7.270264444192e-11      -9.667212358353e-11       3.674807254121e-10       1.010152510681e+00       6.931719625835e-02       1.038009477879e-10       1.769678691755e-10      -4.652064665683e-10       9.534946990601e-01       1.455193804595e-10      -5.645373607224e-11      -3.379875327531e-11       2.304370313997e-02      -1.696410953102e-08       2.710623713151e-09       5.503058455586e-04       7.835209075388e-05       5.254755091470e-04 
