# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   45       8.340976184189e-01       8.322356038142e-03      -1.725222175014e-08       4.490576784593e-09       5.393580161932e-10       7.501040541876e-01       1.315456001475e-08      -4.059253234546e-09       5.238654969410e-10       3.318856945754e-01       7.395079544731e-10      -7.548644113116e-09       6.624534898113e-02      -2.835344869317e-09       1.554488244881e-02 
   46       8.543334989770e-01       5.768865181303e-03      -8.007039416254e-09      -1.530027901311e-09       1.983546111096e-10       7.667439379893e-01       8.594538987666e-09       3.468597114244e-09       2.274948263668e-10       3.410445375648e-01      -2.523373774089e-09       4.076070387523e-09       6.868883830635e-02      -3.938099683849e-09       1.618414000577e-02 
   47       8.752852548203e-01       3.416590734493e-03      -1.860029582110e-08       7.058252033336e-09       4.997921093412e-10       7.834457500913e-01       1.435894798174e-08      -3.984939849162e-09      -6.049704454370e-10       3.501708955810e-01      -9.797001984743e-10      -8.487294947231e-11       7.116179925242e-02      -9.751766758612e-09       1.683249742490e-02 
   48       8.968802943479e-01       1.447410549202e-03      -9.772144267564e-09       2.421428450808e-10       2.205451852445e-10       8.004131275384e-01       8.346672379491e-09       3.207898171316e-10       9.069307816992e-11       3.592937865818e-01      -1.385345703474e-09       1.180451524381e-09       7.366438791986e-02      -1.082921709525e-09       1.748973220140e-02 
   49       9.189623661514e-01       3.958697143800e-06      -1.949026862784e-08       5.218425911710e-09       6.313716622500e-10       8.178109935464e-01       1.582736191636e-08      -1.501172495816e-09      -4.237744183692e-10       3.684435400220e-01      -2.463088932737e-09       1.238929691969e-08       7.619677247228e-02      -7.543240798648e-09       1.815562458536e-02 
   50       9.413100176435e-01      -8.226496005873e-04      -1.072859377096e-08       5.610085698838e-09       2.214372451627e-10       8.357510745436e-01       8.582449900673e-09      -4.317686585459e-09       2.742991855974e-10       3.776504720016e-01       1.278302569247e-10      -1.818572294164e-10       7.875910328225e-02      -7.597472831957e-09       1.882994270218e-02 
   51       9.636629175176e-01      -1.000294105989e-03      -1.997104386121e-08       1.504618653048e-09       7.134311339833e-10       8.542826554578e-01       1.769796901595e-08       6.073324972467e-10      -4.602989397808e-10       3.869435911536e-01      -3.690426738813e-09      -1.647671080299e-10       8.135153940700e-02      -1.225589965623e-09       1.951250759955e-02 
   52       9.857524699308e-01      -5.584306587343e-04      -1.039582581752e-08       9.456645200853e-09       7.141262549480e-11       8.733900772085e-01       9.528734919300e-09      -5.840578792025e-09       1.358665355501e-10       3.963494041034e-01       4.713369420835e-10       1.954661104618e-09       8.397418331220e-02      -5.052213413571e-09       2.020309405501e-02 
   53       1.007334334296e+00       4.153251800892e-04      -2.166912840901e-08       5.269620486272e-10       6.726856498066e-10       8.929953273762e-01       1.810253382134e-08      -1.533689521813e-09      -3.364379952667e-10       4.058908655264e-01      -3.449223141700e-09      -1.434514241253e-08       8.662713356195e-02      -4.582696700075e-09       2.090152916414e-02 
   54       1.028217509841e+00       1.784014706027e-03      -1.094697419452e-08       6.810339564976e-09       3.864792810725e-10       9.129667202903e-01       9.953470255917e-09      -2.357889985219e-09       1.350483337439e-10       4.155864742318e-01      -2.568985736482e-10      -5.837676203609e-09       8.931040579712e-02       1.338527395865e-09       2.160763411677e-02 
   55       1.048287253903e+00       3.375881970446e-03      -2.400432644625e-08       4.645382095287e-09       6.293342806198e-10       9.331314719025e-01       1.840293447924e-08      -6.039067388868e-09      -3.197294721864e-10       4.254495826320e-01      -1.803648463300e-09       4.607304659570e-09       9.202399260981e-02       3.135381104048e-09       2.232122599041e-02 
   56       1.067516851951e+00       5.002393210116e-03      -1.134739760312e-08      -1.006178080880e-09       2.724519054558e-10       9.532929646833e-01       1.096470135821e-08       3.251863741323e-09       1.389110654785e-10       4.354878656717e-01      -2.470282181491e-09      -3.712567852037e-09       9.476779213102e-02      -3.469942829577e-09       2.304215548395e-02 
   57       1.085968490264e+00       6.478472563047e-03      -2.652713211672e-08       7.889294268602e-09       6.746544380601e-10       9.732495048212e-01       2.016753345806e-08      -8.170231647314e-09      -4.970610919273e-10       4.457030130201e-01       9.794606038573e-10       1.030880096359e-08       9.754164668692e-02       1.021462932265e-08       2.377027242050e-02 
   58       1.103781612613e+00       7.641697420197e-03      -1.347473223514e-08      -5.290679273609e-09       1.342779970928e-10       9.928148331110e-01       1.238241173598e-08       4.404925077776e-09       3.047899936212e-10       4.560906000820e-01      -4.293062228149e-09       1.569047296135e-08       1.003453132598e-01       7.890537224362e-09       2.450542085122e-02 
   59       1.121152823587e+00       8.368566333901e-03      -2.792528069412e-08       3.329611264257e-09       6.857520694377e-10       1.011836196883e+00       2.252936792469e-08      -2.980176256455e-09      -4.556595569050e-10       4.666401370846e-01       2.434061676630e-09      -9.120460123498e-09       1.031784497731e-01       2.595577363689e-09       2.524748507562e-02 
   60       1.138309166341e+00       8.585380640751e-03      -1.554060536401e-08      -1.189673056045e-09       1.912040403213e-10       1.030209924837e+00       1.161288677827e-08       7.437008530132e-11       1.239434865146e-10       4.773353333999e-01      -4.940423743144e-09      -1.074868676071e-08       1.060406477066e-01       1.255311261192e-08       2.599634156796e-02 
