# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   39       7.209000502592e-01      -5.842430244345e-10      -4.068085982759e-09      -5.236496315420e-11      -2.946331286328e-09       1.369582995069e-01      -2.820713375275e-10       4.405893029425e-11      -6.978130704293e-09       5.220108724629e-02      -1.697627844601e-08      -4.012244089494e-10       2.615437093498e-02      -2.834784357967e-07       1.510440328892e-02 
   40       7.399971531825e-01      -1.688570782888e-09       1.710526353403e-09      -4.001105751068e-10       9.399092561302e-09       1.426825831730e-01      -1.795949319433e-09      -5.088436463611e-10      -5.545358511995e-10       5.446902055538e-02      -1.344988876944e-08       4.773463061459e-09       2.736068397034e-02      -2.464476293841e-07       1.582918758459e-02 
   41       7.586329135150e-01      -1.847114494222e-09      -3.718827089578e-09       5.355027196179e-11       3.895795896660e-09       1.484861762233e-01       1.470107994251e-10      -6.616731133533e-10      -8.131508700187e-09       5.676638389132e-02      -1.079326331529e-08       7.904430277751e-10       2.858455693491e-02      -2.125398862552e-07       1.656645871307e-02 
   42       7.770961120548e-01       2.951301280461e-09       1.022218694357e-09      -2.663620479355e-10       4.663027529799e-09       1.543641216333e-01      -2.209343615853e-09       1.397053354837e-10      -5.287904605871e-10       5.909302798321e-02      -9.685099071392e-09       2.279597642955e-09       2.982547801584e-02      -1.868571129927e-07       1.731585471805e-02 
   43       7.956800364074e-01       2.046382342248e-10      -9.161207774983e-10      -1.165921798823e-10      -1.250525855535e-10       1.603106912985e-01       2.763589438312e-12       4.256664062189e-10      -9.684474018688e-11       6.144886306191e-02      -6.133964374946e-09       3.538167442856e-09       3.108297339803e-02      -1.585390012979e-07       1.807705749252e-02 
   44       8.146455004078e-01      -1.126011795713e-10      -8.147759806539e-10      -1.865214396729e-10       2.738590964685e-09       1.663194011049e-01      -1.897316189138e-09       4.770287572971e-10      -4.778038190055e-09       6.383389466341e-02      -4.614037218457e-09      -9.439524289311e-11       3.235660654862e-02      -1.410464609327e-07       1.884973807008e-02 
   45       8.341908107936e-01       1.655303667384e-09       3.175486988055e-09       6.348890200679e-11       1.614762410376e-09       1.723830810044e-01      -8.650374204446e-11       1.220661547813e-10       8.049839842811e-09       6.624816447259e-02      -4.609846104663e-09       4.709935671248e-09       3.364597957361e-02      -1.192292046104e-07       1.963357891383e-02 
   46       8.544308348253e-01       1.103706289559e-09      -2.026012463648e-09      -1.813259924992e-11      -4.128908840054e-09       1.784939617450e-01      -1.964943954638e-09       3.464007185401e-10      -5.208420223945e-10       6.869178016776e-02      -3.804115587724e-09       2.456955315850e-10       3.495073689694e-02      -1.039803076953e-07       2.042829602478e-02 
   47       8.753868054839e-01      -4.971217013947e-09       5.468166100530e-09       6.719018366075e-11      -1.172307574695e-09       1.846437548384e-01      -1.374611352871e-10       3.424603001467e-10       5.145963554372e-09       7.116487091360e-02      -3.077574478803e-09       1.978023370787e-09       3.627055376075e-02      -9.114549098006e-08       2.123357614773e-02 
   48       8.969861697221e-01      -3.103009881528e-09      -1.883054470811e-10      -2.522150835301e-10      -9.216422492514e-09       1.908237920933e-01      -1.573611118340e-09       1.872230939677e-10       1.279882836546e-08       7.366759173804e-02      -1.539500220008e-09       3.899234022599e-09       3.760514397904e-02      -7.565010498113e-08       2.204917113085e-02 
   49       9.190726350757e-01      -2.096030166209e-09       3.515499647931e-09       1.585827651744e-10      -1.554675882656e-09       1.970251493302e-01      -1.139220189386e-09       6.627851815814e-10       1.199658571359e-09       7.620011175813e-02      -2.650394483025e-09      -1.931296054521e-09       3.895426357159e-02      -6.968062074438e-08       2.287479696982e-02 
