#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.107145e-06 1.075461e+02 1.075465e+02 1.064493e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 6.105088e-09 6.241762e-08 2.138038e-07 -7.838387e-13 4.857303e+03 4.467651e+06 9.454370e+05 -2.356051e-03 -5.069042e-02 -2.285151e-01 -1.126589e-01 2.999891e-02 8.498959e-01 4.160963e-03 2.755659e-07 9.247954e-07 -1.607857e-07
1.110464e-06 1.075461e+02 1.075465e+02 1.069214e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 6.132765e-09 6.267304e-08 2.143469e-07 -7.887411e-13 4.850841e+03 4.455774e+06 9.429315e+05 -2.359610e-03 -5.077158e-02 -2.288794e-01 -1.128465e-01 3.004895e-02 8.501561e-01 4.160993e-03 2.767356e-07 9.278339e-07 -1.613249e-07
1.113794e-06 1.075461e+02 1.075465e+02 1.073956e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 6.160568e-09 6.292951e-08 2.148913e-07 -7.936741e-13 4.844388e+03 4.443929e+06 9.404326e+05 -2.363173e-03 -5.085287e-02 -2.292442e-01 -1.130345e-01 3.009907e-02 8.504164e-01 4.161023e-03 2.779103e-07 9.308824e-07 -1.618660e-07
1.117133e-06 1.075461e+02 1.075465e+02 1.078719e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948245e+01 6.188497e-09 6.318703e-08 2.154370e-07 -7.986379e-13 4.837944e+03 4.432116e+06 9.379403e+05 -2.366742e-03 -5.093429e-02 -2.296096e-01 -1.132228e-01 3.014928e-02 8.506768e-01 4.161053e-03 2.790899e-07 9.339409e-07 -1.624089e-07
1.120482e-06 1.075461e+02 1.075465e+02 1.083503e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948245e+01 6.216553e-09 6.344561e-08 2.159841e-07 -8.036328e-13 4.831508e+03 4.420334e+06 9.354546e+05 -2.370317e-03 -5.101584e-02 -2.299756e-01 -1.134114e-01 3.019957e-02 8.509372e-01 4.161083e-03 2.802746e-07 9.370095e-07 -1.629536e-07
1.123842e-06 1.075461e+02 1.075465e+02 1.088308e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948245e+01 6.244735e-09 6.370524e-08 2.165325e-07 -8.086589e-13 4.825080e+03 4.408583e+06 9.329755e+05 -2.373897e-03 -5.109752e-02 -2.303422e-01 -1.136003e-01 3.024994e-02 8.511977e-01 4.161113e-03 2.814643e-07 9.400882e-07 -1.635002e-07
1.127211e-06 1.075461e+02 1.075465e+02 1.093135e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948245e+01 6.273046e-09 6.396593e-08 2.170823e-07 -8.137165e-13 4.818662e+03 4.396864e+06 9.305029e+05 -2.377482e-03 -5.117934e-02 -2.307093e-01 -1.137895e-01 3.030039e-02 8.514583e-01 4.161144e-03 2.826591e-07 9.431770e-07 -1.640485e-07
1.130590e-06 1.075461e+02 1.075465e+02 1.097983e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.301485e-09 6.422769e-08 2.176334e-07 -8.188057e-13 4.812251e+03 4.385176e+06 9.280370e+05 -2.381072e-03 -5.126128e-02 -2.310771e-01 -1.139790e-01 3.035093e-02 8.517190e-01 4.161174e-03 2.838589e-07 9.462759e-07 -1.645987e-07
1.133980e-06 1.075461e+02 1.075465e+02 1.102853e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.330053e-09 6.449052e-08 2.181858e-07 -8.239267e-13 4.805849e+03 4.373518e+06 9.255775e+05 -2.384668e-03 -5.134336e-02 -2.314454e-01 -1.141689e-01 3.040156e-02 8.519798e-01 4.161204e-03 2.850638e-07 9.493850e-07 -1.651508e-07
1.137380e-06 1.075461e+02 1.075465e+02 1.107744e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.358750e-09 6.475443e-08 2.187397e-07 -8.290798e-13 4.799456e+03 4.361892e+06 9.231246e+05 -2.388270e-03 -5.142556e-02 -2.318143e-01 -1.143591e-01 3.045227e-02 8.522406e-01 4.161234e-03 2.862738e-07 9.525043e-07 -1.657047e-07
