# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0484e+00 2.6194e+01 -2.6213e+01 -8.4966e+00 5.8340e+01 1.0739e+02 4.2864e+01 8.1787e+01 1.1753e+02 -3.3812e+01 -9.4427e+00 2.8035e+01 3.7645e+01 0.0000e+00 0.0000e+00
1.1367e+00 2.0105e+01 -2.3425e+01 -7.6593e+00 3.9850e+01 8.6736e+01 3.3787e+01 7.1823e+01 9.9428e+01 -2.9031e+01 -7.8403e+00 2.3544e+01 3.2697e+01 0.0000e+00 0.0000e+00
1.2325e+00 1.5285e+01 -2.0523e+01 -6.6838e+00 2.6056e+01 6.9452e+01 2.6273e+01 6.2798e+01 8.3417e+01 -2.4692e+01 -6.4519e+00 1.9671e+01 2.8284e+01 0.0000e+00 0.0000e+00
1.3363e+00 1.1517e+01 -1.7653e+01 -5.6660e+00 1.6077e+01 5.5171e+01 2.0171e+01 5.4667e+01 6.9427e+01 -2.0807e+01 -5.2640e+00 1.6353e+01 2.4366e+01 0.0000e+00 0.0000e+00
1.4488e+00 8.6083e+00 -1.4932e+01 -4.6814e+00 9.0966e+00 4.3514e+01 1.5306e+01 4.7383e+01 5.7347e+01 -1.7377e+01 -4.2601e+00 1.3528e+01 2.0907e+01 0.0000e+00 0.0000e+00
1.5709e+00 6.3887e+00 -1.2440e+01 -3.7819e+00 4.3971e+00 3.4105e+01 1.1491e+01 4.0894e+01 4.7035e+01 -1.4390e+01 -3.4217e+00 1.1139e+01 1.7869e+01 0.0000e+00 0.0000e+00
1.7032e+00 4.7125e+00 -1.0227e+01 -2.9964e+00 1.3751e+00 2.6587e+01 8.5470e+00 3.5148e+01 3.8325e+01 -1.1823e+01 -2.7294e+00 9.1315e+00 1.5215e+01 0.0000e+00 0.0000e+00
1.8467e+00 3.4585e+00 -8.3104e+00 -2.3350e+00 -4.5529e-01 2.0633e+01 6.3052e+00 3.0087e+01 3.1042e+01 -9.6432e+00 -2.1636e+00 7.4560e+00 1.2909e+01 0.0000e+00 0.0000e+00
2.0022e+00 2.5277e+00 -6.6855e+00 -1.7945e+00 -1.4691e+00 1.5952e+01 4.6188e+00 2.5655e+01 2.5007e+01 -7.8138e+00 -1.7055e+00 6.0656e+00 1.0914e+01 0.0000e+00 0.0000e+00
2.1709e+00 1.8413e+00 -5.3328e+00 -1.3634e+00 -1.9450e+00 1.2296e+01 3.3631e+00 2.1794e+01 2.0047e+01 -6.2941e+00 -1.3378e+00 4.9184e+00 9.1978e+00 0.0000e+00 0.0000e+00
2.3537e+00 1.3379e+00 -4.2234e+00 -1.0261e+00 -2.0829e+00 9.4554e+00 2.4363e+00 1.8449e+01 1.6001e+01 -5.0431e+00 -1.0448e+00 3.9765e+00 7.7276e+00 0.0000e+00 0.0000e+00
2.5520e+00 9.7026e-01 -3.3249e+00 -7.6647e-01 -2.0209e+00 7.2571e+00 1.7572e+00 1.5565e+01 1.2722e+01 -4.0218e+00 -8.1288e-01 3.2069e+00 6.4737e+00 0.0000e+00 0.0000e+00
2.7669e+00 7.0270e-01 -2.6046e+00 -5.6906e-01 -1.8513e+00 5.5617e+00 1.2626e+00 1.3090e+01 1.0079e+01 -3.1940e+00 -6.3042e-01 2.5807e+00 5.4085e+00 0.0000e+00 0.0000e+00
3.0000e+00 5.0845e-01 -2.0320e+00 -4.2048e-01 -1.6334e+00 4.2575e+00 9.0428e-01 1.0976e+01 7.9609e+00 -2.5272e+00 -4.8755e-01 2.0729e+00 4.5072e+00 0.0000e+00 0.0000e+00
